4.2127,3.5132,9.3095,2.7692,31.0969,3.3336,81.6593,2.3287,2731.681,4.3786,110.6482,2.2673
4.5014,2.3404,10.6037,2.1935,89.9711,2.6366,90.7411,2.3851,89.4102,2.3716,91.6691,2.3549
5.9938,2.4062,41.7184,2.2216,83.7274,2.5882,88.9686,2.3837,92.2119,2.5351,89.1917,2.389
58.8974,3.1386,90.8517,2.387,90.1397,2.4219,91.5764,2.4571,92.0011,2.4089,91.076,2.4174
4.2106,2.391,12.4176,3.0315,62.9837,2.4404,78.2265,2.2974,90.6473,2.4528,92.9959,2.3454
4.5067,2.3189,9.772,2.338,55.6026,2.3855,62.7076,2.4037,90.4034,2.3296,96.8491,2.405
89.1512,2.4071,90.2685,2.3111,104.9165,2.3222,87.2341,2.4087,88.3075,2.3621,90.6063,2.3955
7.1136,2.4933,58.3804,2.388,92.8754,2.4459,92.592,2.2926,95.7829,2.3595,91.9887,2.3569
90.2108,2.3436,89.0394,2.6929,89.5967,2.4126,89.1288,2.3357,88.7972,2.3293,93.7003,2.3578
4.6338,2.3837,9.8804,2.656,89.5813,2.3929,90.4605,2.4344,91.6589,2.4067,88.4115,2.3839
89.4976,2.5086,87.4534,2.3832,90.1842,2.4768,86.1898,2.4036,88.828,2.4575,88.6978,2.2808
89.0431,2.5026,98.8289,2.4366,98.4386,2.3964,101.0306,2.3337,92.3112,2.2837,89.6147,2.4056
5.1451,2.3801,12.6669,2.3322,92.227,2.4636,90.6231,2.3821,92.063,2.5368,91.1193,2.389
4.3063,2.4231,9.5423,2.3231,52.0453,2.3129,54.7122,2.4728,57.0684,2.3468,58.7431,2.447
84.7076,2.4445,88.8702,2.2853,91.6324,2.4147,97.1495,2.3828,95.8886,2.415,89.158,2.379
5.0262,2.3385,29.6272,2.3392,59.3023,2.5147,88.6882,2.4258,87.4843,2.2976,88.5454,2.3929
89.8916,2.5205,90.847,2.3453,92.9435,2.3974,90.7875,2.4079,94.5939,2.3963,95.2965,2.6663
92.5435,2.3956,92.51,2.367,95.8135,2.4061,93.6723,2.494,90.9463,2.3925,92.6811,2.3694
8.0525,2.367,53.7217,2.5385,90.4469,2.3983,94.2339,2.5823,89.6757,2.4674,91.6324,2.454
82.5979,2.471,88.3115,3.0127,104.8474,2.3629,109.1786,2.6058,112.9054,2.3639,98.5195,2.4043
